a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
ack 3.3.1-1
acl 2.2.53-2
acpi 1.7-2
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.0-1
alacritty 0.4.1-2
allegro 5.2.6.0-1
alsa-firmware 1.2.1-2
alsa-lib 1.2.2-1
alsa-oss 1.1.8-3
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
amtk 5.0.2-1
android-tools 29.0.6-1
anki 2.1.15-1
aom 1.0.0.errata1+avif-1
apache 2.4.41-1
apparmor 2.13.3-5
appstream-glib 0.7.17-1
apr 1.7.0-2
apr-util 1.6.1-6
archlinux-appstream-data 20200315-1.1
archlinux-keyring 20200108-1
argon2 20190702-2
aribb24 1.0.3-2
aspell 0.60.8-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attr 2.4.48-2
audit 2.8.5-6
autoconf 2.69-7
autojump-git 22.5.3.r0.g06e082c-3
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
awesome-terminal-fonts 1.1.0-2
b43-fwcutter 019-3
babl 0.1.74-1
balena-etcher 2:1.5.80-1
baobab 3.34.0-1
bash 5.0.016-1
bash-completion 2.10-1
bashrc-manjaro 5.0.016-1
bat 0.13.0-1
bauh 0.8.3-1
bc 1.07.1-3
bcg729 1.0.4-4
binutils 2.34-2.1
bison 3.5.3-1
blas 3.9.0-2
bluez 5.54-1
bluez-libs 5.54-1
bolt 0.8-3
bookworm 1.1.2-1
boost-libs 1.72.0-1
broot 0.13.4-2
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bzip2 1.0.8-3
c-ares 1.16.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.51-1
ca-certificates-utils 20181109-3
caffeine-ng 3.4.2-2.3
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
calibre-common 4.13.0-1
cantarell-fonts 1:0.201-1
cblas 3.9.0-2
cdparanoia 10.2-7
celt 0.11.3-3
chars 0.5.0-2
cheese 3.34.0+23+gcac6d3a1-1
chmlib 0.40-5
chromaprint 1.4.3-2
chrome-gnome-shell 10.1-3
cifs-utils 6.10-1
ckbcomp 1.194-1
clipgrab 3.8.11-1
clucene 2.3.3.4-10
clutter 1.26.4-1
clutter-gst 3.0.27-2
clutter-gtk 1.8.4-1
cmake 3.17.0-1
cmatrix 2.0-1
cnijfilter-common 4.10-2
cnijfilter-mx920 3.90-3
code 1.43.2-1
cogl 1.22.6-1
colord 1.4.4+9+g1ce26da-1
colord-gtk 0.2.0-1
colord-sane 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
coreutils 8.31-3
cowsay 3.04-1
cpupower 5.5-1
cracklib 2.9.7-2
crda 4.14-3
cronie 1.5.5-1
crunch 3.6-1
cryptsetup 2.3.0-1.1
cups 2.3.1-1
cups-filters 1.27.3-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.69.1-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.36.0-1
dconf-editor 3.36.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-1
dhclient 4.4.2-2
dhcpcd 8.1.6-1
diffutils 3.7-3
ding-libs 0.6.1-3
djvulibre 3.5.27-5
dmg2img 1.6.7-3
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.80-4
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-3
dotconf 1.3-5
double-conversion 3.1.5-1
drawing 0.4.13-1
dumb 2.0.3-2
dust 0.5.1-1
dynamic-wallpaper-editor 2.4-1
e2fsprogs 1.45.6-1
ecryptfs-utils 111-3
efibootmgr 16-2
efivar 37-3
electricsheep 3.0.2-3
electron 8.2.0-3
electron6 6.1.9-3
electron7 7.1.14-2
elfutils 0.178-2
empathy 3.25.90+34+g78f4d4fda-3
enchant 2.2.8-1
evince 3.36.0-1
evolution 3.36.1-1
evolution-data-server 3.36.1-1
exempi 2.5.1-1
exfat-utils 1.3.0-1
exiv2 0.27.2-1
expac 10-1
expat 2.2.9-3
f2fs-tools 1.13.0-1
faac 1.30-2
faad2 2.9.1-2
fakeroot 1.24-2
farstream 0.2.9-1
fd 7.5.0-1
feh 3.3-2
ffmpeg 1:4.2.2-4
ffmpegthumbnailer 2.2.2-1
fftw 3.3.8-2
file 5.38-3
file-roller 3.36.1-1
filesystem 2019.10-4
findutils 4.7.0-2
firefox-beta-bin 75.0rc1-1
